,layer,neuron,class_selectivity_idx,population_code,class_id,class_freq,first_wordnet_level,last_common_level,deep_level,included_categories
50,block1_conv1,50,0.232,0,,0.0,,,0,0
51,block1_conv1,51,0.232,0,,0.0,,,0,0
52,block1_conv1,52,0.152,0,,0.0,,,0,0
53,block1_conv1,53,0.242,0,,0.0,,,0,0
54,block1_conv1,54,0.253,0,,0.0,,,0,0
55,block1_conv1,55,0.303,0,,0.0,,,0,0
56,block1_conv1,56,0.242,0,,0.0,,,0,0
57,block1_conv1,57,0.293,0,,0.0,,,0,0
58,block1_conv1,58,0.293,0,,0.0,,,0,0
59,block1_conv1,59,0.212,1,"rock beauty, Holocanthus tricolor",0.1,"animal, animate being, beast, brute, creature, fauna","rock beauty, Holocanthus tricolor",11,1
60,block1_conv1,60,0.242,1,"web site, website, internet site, site",0.10999,"artifact, artefact","web site, website, internet site, site",6,1
61,block1_conv1,61,1.0,1,"tench, Tinca tinca",1.0,"animal, animate being, beast, brute, creature, fauna","tench, Tinca tinca",11,1
62,block1_conv1,62,0.212,0,,0.0,,,0,0
63,block1_conv1,63,0.212,0,,0.0,,,0,0
64,block1_conv2,0,0.232,0,,0.0,,,0,0
65,block1_conv2,1,0.354,1,"web site, website, internet site, site",0.16092,"artifact, artefact","web site, website, internet site, site",6,1
66,block1_conv2,2,0.253,0,,0.0,,,0,0
67,block1_conv2,3,0.323,0,,0.0,,,0,0
68,block1_conv2,4,0.303,0,,0.0,,,0,0
69,block1_conv2,5,0.273,1,"web site, website, internet site, site",0.15138,"artifact, artefact","web site, website, internet site, site",6,1
70,block1_conv2,6,0.172,0,,0.0,,,0,0
71,block1_conv2,7,0.182,0,,0.0,,,0,0
72,block1_conv2,8,0.141,0,,0.0,,,0,0
73,block1_conv2,9,0.172,0,,0.0,,,0,0
74,block1_conv2,10,0.182,0,,0.0,,,0,0
75,block1_conv2,11,0.212,0,,0.0,,,0,0
76,block1_conv2,12,0.192,0,,0.0,,,0,0
77,block1_conv2,13,0.131,0,,0.0,,,0,0
78,block1_conv2,14,0.263,0,,0.0,,,0,0
79,block1_conv2,15,0.313,0,,0.0,,,0,0
80,block1_conv2,16,0.293,1,"web site, website, internet site, site",0.13031,"artifact, artefact","web site, website, internet site, site",6,1
81,block1_conv2,17,0.172,0,,0.0,,,0,0
82,block1_conv2,18,0.364,0,,0.0,,,0,0
83,block1_conv2,19,0.202,0,,0.0,,,0,0
84,block1_conv2,20,0.172,0,,0.0,,,0,0
85,block1_conv2,21,0.232,0,,0.0,,,0,0
86,block1_conv2,22,0.121,0,,0.0,,,0,0
87,block1_conv2,23,0.273,0,,0.0,,,0,0
88,block1_conv2,24,0.303,0,,0.0,,,0,0
89,block1_conv2,25,0.182,0,,0.0,,,0,0
90,block1_conv2,26,0.131,0,,0.0,,,0,0
91,block1_conv2,27,0.273,0,,0.0,,,0,0
92,block1_conv2,28,0.263,0,,0.0,,,0,0
93,block1_conv2,29,0.111,0,,0.0,,,0,0
94,block1_conv2,30,0.192,0,,0.0,,,0,0
95,block1_conv2,31,0.242,0,,0.0,,,0,0
96,block1_conv2,32,0.182,0,,0.0,,,0,0
97,block1_conv2,33,0.273,0,,0.0,,,0,0
98,block1_conv2,34,0.253,0,,0.0,,,0,0
99,block1_conv2,35,0.253,1,"crossword puzzle, crossword",0.12001,"artifact, artefact","crossword puzzle, crossword",7,1
100,block1_conv2,36,0.152,0,,0.0,,,0,0
101,block1_conv2,37,0.141,0,,0.0,,,0,0
102,block1_conv2,38,0.253,0,,0.0,,,0,0
103,block1_conv2,39,0.212,0,,0.0,,,0,0
104,block1_conv2,40,0.152,0,,0.0,,,0,0
105,block1_conv2,41,0.131,0,,0.0,,,0,0
106,block1_conv2,42,0.232,0,,0.0,,,0,0
107,block1_conv2,43,0.152,0,,0.0,,,0,0
108,block1_conv2,44,0.152,0,,0.0,,,0,0
109,block1_conv2,45,0.162,0,,0.0,,,0,0
110,block1_conv2,46,0.212,0,,0.0,,,0,0
111,block1_conv2,47,0.182,0,,0.0,,,0,0
112,block1_conv2,48,0.111,0,,0.0,,,0,0
113,block1_conv2,49,0.242,0,,0.0,,,0,0
114,block1_conv2,50,0.152,0,,0.0,,,0,0
115,block1_conv2,51,0.273,0,,0.0,,,0,0
116,block1_conv2,52,0.394,0,,0.0,,,0,0
117,block1_conv2,53,0.131,0,,0.0,,,0,0
118,block1_conv2,54,0.111,0,,0.0,,,0,0
119,block1_conv2,55,0.172,0,,0.0,,,0,0
120,block1_conv2,56,0.222,0,,0.0,,,0,0
121,block1_conv2,57,0.172,0,,0.0,,,0,0
122,block1_conv2,58,0.121,0,,0.0,,,0,0
123,block1_conv2,59,0.131,0,,0.0,,,0,0
124,block1_conv2,60,0.303,0,,0.0,,,0,0
125,block1_conv2,61,0.182,0,,0.0,,,0,0
126,block1_conv2,62,0.202,0,,0.0,,,0,0
127,block1_conv2,63,0.182,0,,0.0,,,0,0
128,block2_conv1,0,0.293,0,,0.0,,,0,0
129,block2_conv1,1,0.162,0,,0.0,,,0,0
130,block2_conv1,2,0.051,0,,0.0,,,0,0
131,block2_conv1,3,0.293,0,,0.0,,,0,0
132,block2_conv1,4,0.343,0,,0.0,,,0,0
133,block2_conv1,5,0.192,0,,0.0,,,0,0
134,block2_conv1,6,0.232,0,,0.0,,,0,0
135,block2_conv1,7,0.192,0,,0.0,,,0,0
136,block2_conv1,8,0.384,0,,0.0,,,0,0
137,block2_conv1,9,0.121,0,,0.0,,,0,0
138,block2_conv1,10,0.162,0,,0.0,,,0,0
139,block2_conv1,11,0.172,0,,0.0,,,0,0
140,block2_conv1,12,0.293,0,,0.0,,,0,0
141,block2_conv1,13,0.172,0,,0.0,,,0,0
142,block2_conv1,14,0.081,0,,0.0,,,0,0
143,block2_conv1,15,0.152,0,,0.0,,,0,0
144,block2_conv1,16,0.202,1,"perfume, essence",0.11057,"artifact, artefact","perfume, essence",4,1
145,block2_conv1,17,0.162,0,,0.0,,,0,0
146,block2_conv1,18,0.253,1,zebra,0.13838,"animal, animate being, beast, brute, creature, fauna",zebra,9,1
147,block2_conv1,19,0.172,0,,0.0,,,0,0
148,block2_conv1,20,0.101,0,,0.0,,,0,0
149,block2_conv1,21,0.162,0,,0.0,,,0,0
150,block2_conv1,22,0.172,1,barbell,0.1233,"artifact, artefact",barbell,6,1
151,block2_conv1,23,0.212,0,,0.0,,,0,0
152,block2_conv1,24,0.192,0,,0.0,,,0,0
153,block2_conv1,25,0.081,0,,0.0,,,0,0
154,block2_conv1,26,0.202,0,,0.0,,,0,0
155,block2_conv1,27,0.192,0,,0.0,,,0,0
156,block2_conv1,28,0.101,0,,0.0,,,0,0
157,block2_conv1,29,0.222,0,,0.0,,,0,0
158,block2_conv1,30,0.162,0,,0.0,,,0,0
159,block2_conv1,31,0.182,0,,0.0,,,0,0
160,block2_conv1,32,0.232,0,,0.0,,,0,0
161,block2_conv1,33,0.212,0,,0.0,,,0,0
162,block2_conv1,34,0.141,0,,0.0,,,0,0
163,block2_conv1,35,0.182,0,,0.0,,,0,0
164,block2_conv1,36,0.242,0,,0.0,,,0,0
165,block2_conv1,37,0.121,0,,0.0,,,0,0
166,block2_conv1,38,0.222,0,,0.0,,,0,0
167,block2_conv1,39,0.152,0,,0.0,,,0,0
168,block2_conv1,40,0.212,0,,0.0,,,0,0
169,block2_conv1,41,0.182,0,,0.0,,,0,0
170,block2_conv1,42,0.202,0,,0.0,,,0,0
171,block2_conv1,43,0.091,0,,0.0,,,0,0
172,block2_conv1,44,0.182,0,,0.0,,,0,0
173,block2_conv1,45,0.101,0,,0.0,,,0,0
174,block2_conv1,46,0.162,0,,0.0,,,0,0
175,block2_conv1,47,0.152,0,,0.0,,,0,0
176,block2_conv1,48,0.222,0,,0.0,,,0,0
177,block2_conv1,49,0.232,0,,0.0,,,0,0
178,block2_conv1,50,0.152,0,,0.0,,,0,0
179,block2_conv1,51,0.364,1,jellyfish,0.10916,"animal, animate being, beast, brute, creature, fauna",jellyfish,4,1
180,block2_conv1,52,0.172,0,,0.0,,,0,0
181,block2_conv1,53,0.283,1,admiral,0.13124,"animal, animate being, beast, brute, creature, fauna",admiral,8,1
182,block2_conv1,54,0.202,0,,0.0,,,0,0
183,block2_conv1,55,0.162,0,,0.0,,,0,0
184,block2_conv1,56,0.293,0,,0.0,,,0,0
185,block2_conv1,57,0.222,1,menu,0.13079,Misc,menu,4,1
186,block2_conv1,58,0.303,0,,0.0,,,0,0
187,block2_conv1,59,0.111,0,,0.0,,,0,0
188,block2_conv1,60,0.283,0,,0.0,,,0,0
189,block2_conv1,61,0.081,0,,0.0,,,0,0
190,block2_conv1,62,0.131,0,,0.0,,,0,0
191,block2_conv1,63,0.152,0,,0.0,,,0,0
192,block2_conv1,64,0.172,0,,0.0,,,0,0
193,block2_conv1,65,0.313,0,,0.0,,,0,0
194,block2_conv1,66,0.172,0,,0.0,,,0,0
195,block2_conv1,67,0.152,0,,0.0,,,0,0
196,block2_conv1,68,0.152,0,,0.0,,,0,0
197,block2_conv1,69,0.374,0,,0.0,,,0,0
198,block2_conv1,70,0.263,0,,0.0,,,0,0
199,block2_conv1,71,0.263,0,,0.0,,,0,0
200,block2_conv1,72,0.162,0,,0.0,,,0,0
201,block2_conv1,73,0.091,0,,0.0,,,0,0
202,block2_conv1,74,0.172,0,,0.0,,,0,0
203,block2_conv1,75,0.131,0,,0.0,,,0,0
204,block2_conv1,76,0.081,0,,0.0,,,0,0
205,block2_conv1,77,0.141,0,,0.0,,,0,0
206,block2_conv1,78,0.283,0,,0.0,,,0,0
207,block2_conv1,79,0.192,0,,0.0,,,0,0
208,block2_conv1,80,0.263,0,,0.0,,,0,0
209,block2_conv1,81,0.121,0,,0.0,,,0,0
210,block2_conv1,82,0.212,0,,0.0,,,0,0
211,block2_conv1,83,0.273,2,zebra,0.10937,"animal, animate being, beast, brute, creature, fauna",zebra,9,1
212,block2_conv1,83,0.273,2,Model T,0.10076,"artifact, artefact",Model T,8,1
213,block2_conv1,84,0.152,0,,0.0,,,0,0
214,block2_conv1,85,0.263,1,zebra,0.20403,"animal, animate being, beast, brute, creature, fauna",zebra,9,1
215,block2_conv1,86,0.293,1,"slot, one-armed bandit",0.10193,"artifact, artefact","slot, one-armed bandit",6,1
216,block2_conv1,87,0.354,0,,0.0,,,0,0
217,block2_conv1,88,0.162,0,,0.0,,,0,0
218,block2_conv1,89,0.182,0,,0.0,,,0,0
219,block2_conv1,90,0.111,0,,0.0,,,0,0
220,block2_conv1,91,0.081,0,,0.0,,,0,0
221,block2_conv1,92,0.222,0,,0.0,,,0,0
222,block2_conv1,93,0.081,0,,0.0,,,0,0
223,block2_conv1,94,0.162,0,,0.0,,,0,0
224,block2_conv1,95,0.192,0,,0.0,,,0,0
225,block2_conv1,96,0.192,0,,0.0,,,0,0
226,block2_conv1,97,0.131,0,,0.0,,,0,0
227,block2_conv1,98,0.111,0,,0.0,,,0,0
228,block2_conv1,99,0.232,0,,0.0,,,0,0
229,block2_conv1,100,0.121,0,,0.0,,,0,0
230,block2_conv1,101,0.152,0,,0.0,,,0,0
231,block2_conv1,102,0.263,0,,0.0,,,0,0
232,block2_conv1,103,0.182,0,,0.0,,,0,0
233,block2_conv1,104,0.242,0,,0.0,,,0,0
234,block2_conv1,105,0.222,0,,0.0,,,0,0
235,block2_conv1,106,0.131,0,,0.0,,,0,0
236,block2_conv1,107,0.152,0,,0.0,,,0,0
237,block2_conv1,108,0.374,0,,0.0,,,0,0
238,block2_conv1,109,0.141,0,,0.0,,,0,0
239,block2_conv1,110,0.182,0,,0.0,,,0,0
240,block2_conv1,111,0.152,0,,0.0,,,0,0
241,block2_conv1,112,0.232,0,,0.0,,,0,0
242,block2_conv1,113,0.242,0,,0.0,,,0,0
243,block2_conv1,114,0.343,0,,0.0,,,0,0
244,block2_conv1,115,0.273,0,,0.0,,,0,0
245,block2_conv1,116,0.162,0,,0.0,,,0,0
246,block2_conv1,117,0.323,1,"feather boa, boa",0.10642,"artifact, artefact","feather boa, boa",6,1
247,block2_conv1,118,0.172,0,,0.0,,,0,0
248,block2_conv1,119,0.172,0,,0.0,,,0,0
249,block2_conv1,120,0.313,0,,0.0,,,0,0
250,block2_conv1,121,0.152,0,,0.0,,,0,0
251,block2_conv1,122,0.111,0,,0.0,,,0,0
252,block2_conv1,123,0.253,0,,0.0,,,0,0
253,block2_conv1,124,0.303,0,,0.0,,,0,0
254,block2_conv1,125,0.242,0,,0.0,,,0,0
255,block2_conv1,126,0.253,0,,0.0,,,0,0
256,block2_conv1,127,0.091,0,,0.0,,,0,0
257,block2_conv2,0,0.354,0,,0.0,,,0,0
258,block2_conv2,1,0.121,0,,0.0,,,0,0
259,block2_conv2,2,0.232,0,,0.0,,,0,0
260,block2_conv2,3,0.101,0,,0.0,,,0,0
261,block2_conv2,4,0.111,0,,0.0,,,0,0
262,block2_conv2,5,0.162,0,,0.0,,,0,0
263,block2_conv2,6,0.364,0,,0.0,,,0,0
264,block2_conv2,7,0.121,0,,0.0,,,0,0
265,block2_conv2,8,0.253,0,,0.0,,,0,0
266,block2_conv2,9,0.152,0,,0.0,,,0,0
267,block2_conv2,10,0.333,1,zebra,0.26137,"animal, animate being, beast, brute, creature, fauna",zebra,9,1
268,block2_conv2,11,0.343,1,"slot, one-armed bandit",0.13892,"artifact, artefact","slot, one-armed bandit",6,1
269,block2_conv2,12,0.222,0,,0.0,,,0,0
270,block2_conv2,13,0.283,1,"slot, one-armed bandit",0.10092,"artifact, artefact","slot, one-armed bandit",6,1
271,block2_conv2,14,0.384,1,zebra,0.31495,"animal, animate being, beast, brute, creature, fauna",zebra,9,1
272,block2_conv2,15,0.162,0,,0.0,,,0,0
273,block2_conv2,16,0.162,0,,0.0,,,0,0
274,block2_conv2,17,0.162,0,,0.0,,,0,0
275,block2_conv2,18,0.162,0,,0.0,,,0,0
276,block2_conv2,19,0.152,0,,0.0,,,0,0
277,block2_conv2,20,0.283,0,,0.0,,,0,0
278,block2_conv2,21,0.222,0,,0.0,,,0,0
279,block2_conv2,22,0.152,0,,0.0,,,0,0
280,block2_conv2,23,0.364,1,"slot, one-armed bandit",0.14264,"artifact, artefact","slot, one-armed bandit",6,1
281,block2_conv2,24,0.283,1,"crossword puzzle, crossword",0.15357,"artifact, artefact","crossword puzzle, crossword",7,1
282,block2_conv2,25,0.242,0,,0.0,,,0,0
283,block2_conv2,26,0.141,0,,0.0,,,0,0
284,block2_conv2,27,0.182,0,,0.0,,,0,0
285,block2_conv2,28,0.162,0,,0.0,,,0,0
286,block2_conv2,29,0.303,0,,0.0,,,0,0
287,block2_conv2,30,0.131,0,,0.0,,,0,0
288,block2_conv2,31,0.212,0,,0.0,,,0,0
289,block2_conv2,32,0.273,0,,0.0,,,0,0
290,block2_conv2,33,0.131,0,,0.0,,,0,0
291,block2_conv2,34,0.343,1,window screen,0.21397,"artifact, artefact",window screen,5,1
292,block2_conv2,35,0.283,0,,0.0,,,0,0
293,block2_conv2,36,0.172,0,,0.0,,,0,0
294,block2_conv2,37,0.152,0,,0.0,,,0,0
295,block2_conv2,38,0.242,0,,0.0,,,0,0
296,block2_conv2,39,0.212,0,,0.0,,,0,0
297,block2_conv2,40,0.212,0,,0.0,,,0,0
298,block2_conv2,41,0.424,1,zebra,0.3922,"animal, animate being, beast, brute, creature, fauna",zebra,9,1
299,block2_conv2,42,0.162,0,,0.0,,,0,0
300,block2_conv2,43,0.273,0,,0.0,,,0,0
301,block2_conv2,44,0.212,0,,0.0,,,0,0
302,block2_conv2,45,0.242,0,,0.0,,,0,0
303,block2_conv2,46,0.232,0,,0.0,,,0,0
304,block2_conv2,47,0.141,0,,0.0,,,0,0
305,block2_conv2,48,0.313,0,,0.0,,,0,0
306,block2_conv2,49,0.172,0,,0.0,,,0,0
307,block2_conv2,50,0.313,0,,0.0,,,0,0
308,block2_conv2,51,0.152,0,,0.0,,,0,0
309,block2_conv2,52,0.182,0,,0.0,,,0,0
310,block2_conv2,53,0.242,0,,0.0,,,0,0
311,block2_conv2,54,0.111,0,,0.0,,,0,0
312,block2_conv2,55,0.192,1,"crossword puzzle, crossword",0.10136,"artifact, artefact","crossword puzzle, crossword",7,1
313,block2_conv2,56,0.323,0,,0.0,,,0,0
314,block2_conv2,57,0.283,0,,0.0,,,0,0
315,block2_conv2,58,0.121,0,,0.0,,,0,0
316,block2_conv2,59,0.232,0,,0.0,,,0,0
317,block2_conv2,60,0.101,0,,0.0,,,0,0
318,block2_conv2,61,0.202,0,,0.0,,,0,0
319,block2_conv2,62,0.212,0,,0.0,,,0,0
320,block2_conv2,63,0.263,0,,0.0,,,0,0
321,block2_conv2,64,0.192,0,,0.0,,,0,0
322,block2_conv2,65,0.323,0,,0.0,,,0,0
323,block2_conv2,66,0.293,1,stage,0.10058,"artifact, artefact",stage,5,1
324,block2_conv2,67,0.303,0,,0.0,,,0,0
325,block2_conv2,68,0.152,0,,0.0,,,0,0
326,block2_conv2,69,0.162,0,,0.0,,,0,0
327,block2_conv2,70,0.121,0,,0.0,,,0,0
328,block2_conv2,71,0.323,1,"ringlet, ringlet butterfly",0.16883,"animal, animate being, beast, brute, creature, fauna","ringlet, ringlet butterfly",7,1
329,block2_conv2,72,0.081,0,,0.0,,,0,0
330,block2_conv2,73,0.212,0,,0.0,,,0,0
331,block2_conv2,74,0.152,0,,0.0,,,0,0
332,block2_conv2,75,0.152,0,,0.0,,,0,0
333,block2_conv2,76,0.131,0,,0.0,,,0,0
334,block2_conv2,77,0.222,0,,0.0,,,0,0
335,block2_conv2,78,0.283,0,,0.0,,,0,0
336,block2_conv2,79,0.253,1,admiral,0.1387,"animal, animate being, beast, brute, creature, fauna",admiral,8,1
337,block2_conv2,80,0.202,0,,0.0,,,0,0
338,block2_conv2,81,0.394,1,zebra,0.35204,"animal, animate being, beast, brute, creature, fauna",zebra,9,1
339,block2_conv2,82,0.343,1,"slot, one-armed bandit",0.11002,"artifact, artefact","slot, one-armed bandit",6,1
340,block2_conv2,83,0.283,1,window screen,0.18324,"artifact, artefact",window screen,5,1
341,block2_conv2,84,0.182,0,,0.0,,,0,0
342,block2_conv2,85,0.061,0,,0.0,,,0,0
343,block2_conv2,86,0.354,0,,0.0,,,0,0
344,block2_conv2,87,0.192,0,,0.0,,,0,0
345,block2_conv2,88,0.242,1,zebra,0.11212,"animal, animate being, beast, brute, creature, fauna",zebra,9,1
346,block2_conv2,89,0.141,0,,0.0,,,0,0
347,block2_conv2,90,0.283,0,,0.0,,,0,0
348,block2_conv2,91,0.192,0,,0.0,,,0,0
349,block2_conv2,92,0.232,0,,0.0,,,0,0
350,block2_conv2,93,0.182,0,,0.0,,,0,0
351,block2_conv2,94,0.121,0,,0.0,,,0,0
352,block2_conv2,95,0.253,1,"web site, website, internet site, site",0.11032,"artifact, artefact","web site, website, internet site, site",6,1
353,block2_conv2,96,0.232,0,,0.0,,,0,0
354,block2_conv2,97,0.273,0,,0.0,,,0,0
355,block2_conv2,98,0.121,0,,0.0,,,0,0
356,block2_conv2,99,0.152,0,,0.0,,,0,0
357,block2_conv2,100,0.192,0,,0.0,,,0,0
358,block2_conv2,101,0.131,0,,0.0,,,0,0
359,block2_conv2,102,0.242,0,,0.0,,,0,0
360,block2_conv2,103,0.222,0,,0.0,,,0,0
361,block2_conv2,104,0.131,0,,0.0,,,0,0
362,block2_conv2,105,0.222,0,,0.0,,,0,0
363,block2_conv2,106,0.172,0,,0.0,,,0,0
364,block2_conv2,107,0.354,1,window screen,0.11841,"artifact, artefact",window screen,5,1
365,block2_conv2,108,0.222,0,,0.0,,,0,0
366,block2_conv2,109,0.242,0,,0.0,,,0,0
367,block2_conv2,110,0.071,0,,0.0,,,0,0
368,block2_conv2,111,0.202,1,"crossword puzzle, crossword",0.10067,"artifact, artefact","crossword puzzle, crossword",7,1
369,block2_conv2,112,0.192,0,,0.0,,,0,0
370,block2_conv2,113,0.242,0,,0.0,,,0,0
371,block2_conv2,114,0.202,0,,0.0,,,0,0
372,block2_conv2,115,0.313,0,,0.0,,,0,0
373,block2_conv2,116,0.343,1,stage,0.14194,"artifact, artefact",stage,5,1
374,block2_conv2,117,0.222,0,,0.0,,,0,0
375,block2_conv2,118,0.253,0,,0.0,,,0,0
376,block2_conv2,119,0.202,0,,0.0,,,0,0
377,block2_conv2,120,0.162,0,,0.0,,,0,0
378,block2_conv2,121,0.242,0,,0.0,,,0,0
379,block2_conv2,122,0.172,0,,0.0,,,0,0
380,block2_conv2,123,0.192,0,,0.0,,,0,0
381,block2_conv2,124,0.253,0,,0.0,,,0,0
382,block2_conv2,125,0.202,0,,0.0,,,0,0
383,block2_conv2,126,0.212,0,,0.0,,,0,0
384,block2_conv2,127,0.253,0,,0.0,,,0,0
385,block3_conv1,0,0.273,1,"crossword puzzle, crossword",0.10214,"artifact, artefact","crossword puzzle, crossword",7,1
386,block3_conv1,1,0.141,0,,0.0,,,0,0
387,block3_conv1,2,0.212,1,Shih-Tzu,0.11829,"animal, animate being, beast, brute, creature, fauna",Shih-Tzu,5,1
388,block3_conv1,3,0.202,0,,0.0,,,0,0
389,block3_conv1,4,0.364,1,zebra,0.31067,"animal, animate being, beast, brute, creature, fauna",zebra,9,1
390,block3_conv1,5,0.242,0,,0.0,,,0,0
391,block3_conv1,6,0.222,0,,0.0,,,0,0
392,block3_conv1,7,0.263,0,,0.0,,,0,0
393,block3_conv1,8,0.182,0,,0.0,,,0,0
394,block3_conv1,9,0.131,0,,0.0,,,0,0
395,block3_conv1,10,0.333,0,,0.0,,,0,0
396,block3_conv1,11,0.404,2,window screen,0.16828,"artifact, artefact","artifact, artefact",1,2
397,block3_conv1,11,0.404,2,"crossword puzzle, crossword",0.12966,"artifact, artefact","artifact, artefact",1,2
398,block3_conv1,12,0.212,1,"crossword puzzle, crossword",0.16681,"artifact, artefact","crossword puzzle, crossword",7,1
399,block3_conv1,13,0.333,1,"slot, one-armed bandit",0.12898,"artifact, artefact","slot, one-armed bandit",6,1
400,block3_conv1,14,0.323,0,,0.0,,,0,0
401,block3_conv1,15,0.152,0,,0.0,,,0,0
402,block3_conv1,16,0.303,0,,0.0,,,0,0
403,block3_conv1,17,0.253,0,,0.0,,,0,0
404,block3_conv1,18,0.323,1,"slot, one-armed bandit",0.13269,"artifact, artefact","slot, one-armed bandit",6,1
405,block3_conv1,19,0.192,0,,0.0,,,0,0
406,block3_conv1,20,0.131,0,,0.0,,,0,0
407,block3_conv1,21,0.273,0,,0.0,,,0,0
408,block3_conv1,22,0.505,1,window screen,0.25028,"artifact, artefact",window screen,5,1
409,block3_conv1,23,0.384,1,zebra,0.17284,"animal, animate being, beast, brute, creature, fauna",zebra,9,1
410,block3_conv1,24,0.333,1,"slot, one-armed bandit",0.13107,"artifact, artefact","slot, one-armed bandit",6,1
411,block3_conv1,25,0.636,2,window screen,0.38226,"artifact, artefact","artifact, artefact",1,2
412,block3_conv1,25,0.636,2,"crossword puzzle, crossword",0.12321,"artifact, artefact","artifact, artefact",1,2
413,block3_conv1,26,0.162,0,,0.0,,,0,0
414,block3_conv1,27,0.222,0,,0.0,,,0,0
415,block3_conv1,28,0.172,0,,0.0,,,0,0
416,block3_conv1,29,0.222,0,,0.0,,,0,0
417,block3_conv1,30,0.162,0,,0.0,,,0,0
418,block3_conv1,31,0.263,0,,0.0,,,0,0
419,block3_conv1,32,0.232,1,"slot, one-armed bandit",0.11011,"artifact, artefact","slot, one-armed bandit",6,1
420,block3_conv1,33,0.293,0,,0.0,,,0,0
421,block3_conv1,34,0.333,1,"slot, one-armed bandit",0.15073,"artifact, artefact","slot, one-armed bandit",6,1
422,block3_conv1,35,0.222,0,,0.0,,,0,0
423,block3_conv1,36,0.333,1,"slot, one-armed bandit",0.12042,"artifact, artefact","slot, one-armed bandit",6,1
424,block3_conv1,37,0.222,0,,0.0,,,0,0
425,block3_conv1,38,0.222,0,,0.0,,,0,0
426,block3_conv1,39,0.242,0,,0.0,,,0,0
427,block3_conv1,40,0.242,0,,0.0,,,0,0
428,block3_conv1,41,0.343,0,,0.0,,,0,0
